# date|top|surface|term|reading|partOfSpeech|level|meaningZh|meaningJa|collocations(;)|exampleJa|exampleZh|nuanceZh|nuanceJa
2026-09-15|1|試作|試作する|しさくする|動詞・サ変|N2|正式制作之前，试着做出样品或原型。|本格的に作る前に、試しに作ってみる。|画面を試作する;試作品を作る;試作を繰り返す|画面を試作して、現場の作業に合うか確認します。|制作页面原型，确认是否符合现场作业需要。|试作完成不代表已经满足正式发布条件。|試作ができたことと、本番公開の条件を満たしたことは別。
2026-09-15|1|断念|断念する|だんねんする|動詞・サ変|N1|经过判断后放弃原本打算实现的目标。|実現しようとしていたことを、諦めてやめる。|導入を断念する;計画を断念する;断念した理由|以前断念した方法でも、条件が変わったら再検討します。|即使是曾放弃的方法，条件变化后也重新考虑。|比临时暂停更接近放弃，但以后仍可能重新考虑。|一時停止よりも断ち切る意味が強いが、後の再検討まで否定する語ではない。
2026-09-15|1|転記|転記する|てんきする|動詞・サ変|N1|把某处的记录转写到其他表格或位置。|ある場所の記録を、別の書類や欄に書き移す。|数値を転記する;別の表に転記する;転記ミス|数値を手作業で転記する箇所を減らし、誤りを防ぎます。|减少手工转录数值的环节，预防错误。|更偏向业务记录的转写，强调来源与目标之间的对应。|業務上の記録を移す場合によく使い、元と転記先の対応が重要。
2026-09-15|1|反復|反復する|はんぷくする|動詞・サ変|N1|多次重复相同或类似的行动。|同じ、または似た行動を繰り返す。|作業を反復する;反復練習;反復処理|同じ作業を反復する場合は、自動化できる部分を調べます。|反复进行相同作业时，调查可自动化的部分。|重复本身没有好坏，练习和无效工作都可以反复。|繰り返すこと自体を表し、価値があるかどうかは文脈による。
2026-09-15|1|残存|残存する|ざんぞんする|動詞・サ変|N1|其他部分消失或被替换后，仍然留下。|他がなくなったり変わったりしても、なお残る。|設定が残存する;残存データ;残存を確認する|移行後も古い識別子が残存していないか確認します。|确认迁移之后是否仍残留旧标识符。|强调变更后的残留，比一般“存在”更具体。|変更などの後にも残っている点を強調する。
2026-09-15|2|望ましい|望ましい|のぞましい|い形容詞|N2|从目标或条件来看比较理想、希望实现的。|目的や条件から考えて、そうあるとよい。|望ましい結果;望ましい方法;望ましい状態|望ましい結果が出ても、偶然ではないか確かめます。|即使出现理想结果，也确认是否只是偶然。|理想并不等于已经保证能实现。|好ましいことを示す語で、実現が保証されているわけではない。
2026-09-15|3|試算|試算する|しさんする|動詞・サ変|N1|在假设条件下试着计算结果。|仮の条件を置いて、計算してみる。|費用を試算する;削減額を試算する;条件別の試算|利用量が増えた場合も試算し、予算への影響を確認します。|也试算用量增加的情况，确认对预算的影响。|强调假设条件，不是已经发生的实际金额。|仮定に基づく計算であり、実際に発生した額とは区別する。
2026-09-15|3|潜在的|潜在的な|せんざいてきな|な形容詞|N1|尚未显现，但内部存在可能性的。|まだ表面に現れていないが、内部に存在する。|潜在的な課題;潜在的な効果;潜在的な需要|潜在的な削減効果と、実際に確認できた効果を分けます。|区分潜在节约效果与实际已经确认的效果。|不能把潜在效果直接作为已实现成果。|可能性としての効果を、そのまま実現済みの成果として扱わない。
2026-09-15|4|飛び交う|飛び交う|とびかう|動詞・五段|N1|信息、意见或言语在多处频繁往来。|情報や言葉などが、あちこちで盛んに交わされる。|情報が飛び交う;意見が飛び交う;用語が飛び交う|専門用語が飛び交う会議では、重要な定義を先に共有します。|在专业术语频繁出现的会议中，先共享重要定义。|比普通传达更强调数量多、来往活跃。|単なる伝達より、数が多く盛んに行き交う様子を表す。
2026-09-15|4|奔放|奔放な|ほんぽうな|な形容詞|N1|不受拘束，按自己的方式行动的。|拘束を受けず、自由にふるまう。|奔放な発想;自由奔放だ;奔放に振る舞う|奔放な発想を生かしつつ、実行できる操作には制限を設けます。|发挥自由创意的同时，对可执行操作设置限制。|可以表示自由活跃，也可能带不易控制的意味。|自由さを肯定する場合も、制御しにくさを指す場合もある。
